Pla-Mor Lanes and The Eleventh Frame Diner,5,807 4th St S,6,Bowling;Pizza;American (Traditional)
Domino’s Pizza,4.5,2402 State Rd,4,Pizza;Chicken Wings;Sandwiches
The Pizza Oven,4.5,920 W Hwy 16,5,Pizza
Red Lobster,3,3333 State Road 16,20,Seafood;American (Traditional)
Cabin Coffee,4,401 Jay St,29,Coffee & Tea;Sandwiches
Arrowhead Tap House,3,Located in La Crosse Regional Airport - LSE,2,American (Traditional)
Subway,4,1200 La Crosse St,2,Sandwiches
Lindy’s Subs & Salads,4,225 Sand Lake Rd,15,Salad;Fruits & Veggies
HuHot Mongolian Grill,,3800 WI-16,0,
Toppers Pizza,2.5,325 West Ave N,11,Pizza
River Rocks Coffee,4,332 Front St S,5,Coffee & Tea;Breakfast & Brunch;Bagels
Kobe Japan,,3800 State Road 16,0,
Union Market,4,400 7th St N,1,Restaurants
Fox Hollow Golf Course,4.5,N3287 County Trunk OA,8,Golf;Burgers;Venues & Event Spaces
CreekSide Grill and Pub,2,W5450 Keil Coulee Rd,9,Pubs;American (Traditional);Italian
Jimmy John’s,3,312 Pearl St,18,Sandwiches;Delis;Fast Food
Culver’s,3.5,4101 Mormon Coulee Rd,11,Burgers;Ice Cream & Frozen Yogurt;Fast Food
Westview Inn,4,174 Leonard St S,10,American (New)
Rocky Rococo Pan Style Pizza,2.5,40 Copeland Ave,9,Pizza;Italian
King Street Kitchen,3.5,141 S 7th St,10,American (Traditional);Breakfast & Brunch;Venues & Event Spaces
T Jo’s Pizza & Sandwich Shop,4.5,105 State St,6,Pizza
Taco Bell,3,315 West Avenue North,10,Mexican;Fast Food
Copper Penny,3.5,200 Main St,2,Restaurants
Super Buffet Chinese Restaurant,1,9348 Highway 16,3,Chinese
Big Al’s Too,4,103 10th Ave S,5,Pizza
Pizza Corral,4,1505 S Holmen Dr,26,Pizza
Panera Bread,3,Located in Crossing Meadows Shopping Center,32,Sandwiches;Salad;Soup
Fazoli’s,3.5,9370 Hwy 16,16,Italian
Mexican Tamales Restaurant,2.5,306 Sand Lake Rd,12,Mexican
Papa Murphy’s,5,1820 Jackson Street,1,Pizza
Mary Cody’s Restaurant and Maggie’s Lounge,3.5,205 Main St,19,American (New);Breakfast & Brunch;Coffee & Tea
Coronas Cantina Grill Mexican Restaurant,2,920 W City Hwy 16,2,Cocktail Bars;Mexican;Seafood
Applebee’s Grill + Bar,2,9364 Highway 16,34,Sports Bars;Burgers;American (Traditional)
Coney Island Hot Dogs,3,3800 Hwy 16,7,Hot Dogs
Pizza Villa West Salem,4.5,156 Leonard St S,3,Pizza
Features Sports Bar & Grill,3,1425 State Hwy 16,21,Bowling;Sports Bars;Burgers
China Inn,2.5,9348 State Rd 16,16,Chinese
The MOB Stop,3,208 S Holmen Dr,6,Hot Dogs;Food Stands
Marco’s Pizza,3.5,988 12th Ave S,9,Pizza
Hunter’s Last Chance,4.5,150 S Leonard St,4,Sports Bars;Burgers;Pizza
Buffalo Wild Wings,2.5,3132 Market Pl,53,Chicken Wings;American (Traditional);Sports Bars
Culver’s,4.5,835 Oak Ave S,3,Burgers;Ice Cream & Frozen Yogurt;Fast Food
A&W Restaurant,2.5,3005 S Ave,13,Fast Food;Burgers;Hot Dogs
KFC,3.5,2001 Rose St,3,Fast Food;Chicken Wings;Chicken Shop
McDonald’s,4.5,2437 W George St,3,Coffee & Tea;Burgers;Fast Food
Taco John’s,3,602 Monitor St,5,Fast Food;Mexican
Corky’s Pizza,3,25 S Walnut St,11,Pizza;Ice Cream & Frozen Yogurt;Burgers
Jacqlons Cafe,3,512 S Main St,8,Cafes
American Legion Post 336,5,731 Sand Lake Rd,2,Venues & Event Spaces;American (Traditional);Sports Bars
Chateau La Crosse,,410 Cass St,0,
Hardee’s,2,1311 Rose St,11,Fast Food;Burgers
Ralph’s Restaurant,,109 3rd St N,0,
Caribou Coffee,4,1202 County Rd Ph,16,Bakeries;Coffee & Tea;Sandwiches
South Lanes Pizza,2.5,4107 Mormon Coulee Rd,5,Pizza;Bowling;Bars
Little Caesars Pizza,2.5,1022 La Crosse St,5,Italian;Pizza
K & H Cafe,,1124 Gillette St,0,
Pizza Hut,2.5,2212 Rose St,8,Pizza;Italian;Chicken Wings
Maggie’s On Main,2.5,205 Main St,14,Breakfast & Brunch
Hardee’s,1,2505 State Rd,2,Fast Food;Burgers
Gino’s,3,306 Sand Lake Rd,2,Hot Dogs
Culver’s,4,9422 State Rd 16,6,Burgers;Fast Food;Ice Cream & Frozen Yogurt
Chuck E. Cheese,3,4444 State Rd 16,5,Pizza;Arcades;Kids Activities
Perkins Restaurant & Bakery,3,9428 Highway 16,25,Bakeries;Breakfast & Brunch;American (Traditional)
Neuie’s Vogue Bar and Grill,,1820 George St,0,
Subway,3,1549 Rose St,1,Sandwiches
Ringside,3,223 Pearl St,1,American (New)
Coney Island Village,,2428 State Rd,0,
Tequila’s Restaurant,2.5,425 2nd Ave S,11,Mexican
Burger King,1.5,1124 George St W,3,Burgers
Taco Bell,1,4141 Mormon Coulee Ct,14,Mexican;Fast Food
Rocky Rococo Pan Style Pizza,2.5,1239 Crossing Meadows Dr,11,Pizza;Italian
Taco John’s,2.5,1211 Jackson St,10,Mexican;Fast Food
Cafe Lola,,200 Main St,0,
Toppers Pizza,2.5,605 2nd Ave S,6,Pizza
Hong Kong Restaurant,,322 Main St,0,
Jimmy John’s,2.5,1420 Losey Blvd,7,Delis;Sandwiches;Fast Food
American Legion Clubroom,2.5,509 N Chestnut St,3,Restaurants
McDonald’s,2,2810 Losey Blvd S,6,Fast Food;Burgers;Coffee & Tea
Burger King,1,3519 Mormon Coulee Rd,5,Burgers;Fast Food
Pizza Hut,,4252 Mormon Coulee Rd,0,
Coulee Bar and Grill,,W4516 Eddie Ave,0,
Adam’s Rib & Steak House,,101 Sky Harbour Dr,0,
Burger King,1,515 N Fourth St,2,Burgers;Fast Food
Happy Joe’s Pizza & Ice Cream Parlor,,327 Division St,0,
Pettibone Bar & Grill,,Under Cass St Bridge,0,
Olympic Family Restaurant,,,0,
Dairy Queen Grill & Chill,2.5,4200 Mormon Coulee Rd,6,Fast Food;Ice Cream & Frozen Yogurt;Burgers
Wendy’s,2,4422 Mormon Coulee Road,6,Fast Food;Burgers
Frenchtastic Bakery,,1125 Main St,0,
Padrino’s Pizza,,327 Division St,0,
Truckers Inn Restaurant,2,I 90 & County 12,1,Restaurants
KFC,1,3415 Fiesta Ct,3,Chicken Wings;Fast Food;Chicken Shop
Subway,3.5,9360 State Rd,4,Sandwiches
Arby’s,2.5,3210 N Kinney Coulee Rd,5,Fast Food;Sandwiches
RR Restaurant,,328 Front St S,0,
Hillbilly’s Bar & Grill,,132 La Crescent St,0,
Flamers Grill,,3800 State Rd 16,0,
Main Street Saloon,,56 Main St,0,
Joe’s Bar & Grill At Days Inn,1,101 Sky Harbour Dr,1,Bars;American (Traditional)
Taco Bell,2.5,1243 Crossing Meadows Rd,3,Fast Food;Mexican
Hong Kong Restaurant,,9374 State Rd 16,0,
Norijapan,,3800 State Road 16,0,
Domino’s Pizza,3.5,224 Sand Lake Rd,8,Pizza;Chicken Wings;Sandwiches
Shepherd’s Voice Cafe,,110 Crossroads Ctr,0,
Linda’s Cafe,,County Highway O,0,
The Bistro,2,500 Front St,3,American (Traditional)
Subway,1,3810 Mormon Coulee Rd,1,Sandwiches
Subway,1.5,101 Kistler Dr,2,Sandwiches
Dairy Queen Grill & Chill,2,810 2nd Ave S,15,Ice Cream & Frozen Yogurt;Fast Food;Burgers
Hearty Platter Cafe,2.5,42165 County Rd 12,4,Cafes;Travel Services
Jimmy John’s,3,9432 Hwy 16,9,Sandwiches;Delis;Fast Food
Hong Kong Buffet,,9374 State Road 16,0,
Wendy’s,2,9346 State Road 16,6,Burgers;Fast Food
