Symbol,Side,Cxl,Qty,Price,Bid,Ask,Date1,Date2,TradeID,TradeTiSS,Label,Exbkr,TradeCommType,SourceCommission,Account,OrderID,GTL,GTL-STA,Trailer,Info,Clr,Val1,Val2
CERS,SS,NEW,100,2.350000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264269,56,854300
CERS,SS,NEW,200,2.350000,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264273,56,0
CERS,SS,NEW,100,2.3500008543,2.360000,2.370000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264275,56,854300
CERS,SS,NEW,1,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264364,57,854300
CERS,SS,NEW,199,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264376,57,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264378,57,854300
CERS,SS,NEW,200,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,264382,57,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:55,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,265085,59,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271744,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271752,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271764,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271770,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271775,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271779,34,0
CERS,SS,NEW,100,2.3500008543,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271792,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271805,34,854300
CERS,SS,NEW,200,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271811,34,854300
CERS,SS,NEW,21,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271815,34,854300
CERS,SS,NEW,79,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271819,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271824,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271843,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271845,34,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,271857,35,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,272010,36,854300
CERS,SS,NEW,100,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,272021,36,854300
CERS,SS,NEW,202,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,272023,36,0
CERS,SS,NEW,98,2.3500008543,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,272027,36,854300
CERS,SS,NEW,74,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,272189,36,854300
CERS,SS,NEW,26,2.350000,2.350000,2.360000,06/14,06/19,1706149900004,10:56,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,272197,36,854300
CERS,SS,NEW,100,2.350000,2.340000,2.350000,06/14,06/19,1706149900004,11:15,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,448173,36,854300
CERS,SS,NEW,100,2.350000,2.340000,2.350000,06/14,06/19,1706149900004,11:18,ContraSSFREX,0704,PerUnit,TERM,0.010000,AABBC,1706149900003,CERS,/17,/17,469512,20,854300
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,478768,19,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,479419,23,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,479448,23,473640
S,SS,NEW,700,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,479451,23,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,479455,23,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,479635,25,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480073,28,0
S,SS,NEW,100,8.2100004736,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480085,28,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480094,28,473640
S,SS,NEW,400,8.210000,8.210000,8.220000,06/14,06/19,1706149900004,11:19,ContraSSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,1706149900004,MSCO,/17,/17,480100,28,473640
